id,division,district,highest_dispo_charge,last_event_result,number,highest_charge,highest_charge_mod,complaint_year,next_pending_event,offense_date,sentencing,final_disposition,unit,event_of_final_dispo,drug,drug_patient,drug_res,full,incar,incar_county,incar_life,incar_prison,incr_local,prob,prob_formal,prob_sum,prog,prog_child,prog_dv,work,work_furl,work_pub,work_vol
756,South Bay Branch,South County,,Felony Arraignment on Complaint - Dismissed - Defendant Deceased,CS251188,VC20001(a),,2011,,00:00.0,,Dismissed - Defendant Deceased,South Bay Branch,Felony Arraignment on Complaint,,,,,,,,,,,,,,,,,,,
306,North County Branch,North County,,Further Proceedings - Action Taken,CN256368,VC20001(a),,2009,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Felony Readiness Conference,,,,,,,,,,,,,,,,,,,
312,North County Branch,North County,,Preliminary Exam Readiness - Dismissed (IFJ / IOE),CN258001,VC20001(a),,2009,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
314,North County Branch,North County,,Preliminary Exam Readiness - Dismissed (IFJ / IOE),CN258219,VC20001(a),,2009,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
338,North County Branch,North County,,Restitution Hearing  - Restitution Set,CN263354,VC23153(a),alcohol,2009,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Misdemeanor Readiness Hearing,,,,,,,,,,,,,,,,,,,
340,North County Branch,North County,,Preliminary Exam - Dismissed (IFJ / IOE),CN263525,VC20001(a),,2009,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam,,,,,,,,,,,,,,,,,,,
241,East County Branch,East County,,Felony Readiness Conference - Dismissed (IFJ / IOE),CE307226,VC23153(a),alcohol,2010,,00:00.0,,Dismissed (IFJ / IOE),East County Branch,Felony Readiness Conference,,,,,,,,,,,,,,,,,,,
723,South Bay Branch,South County,,Preliminary Exam - Dismissed (IFJ / IOE),CS237883,VC23153(a),drugs,2010,,00:00.0,,Dismissed (IFJ / IOE),South Bay Branch - OTS Grant,Preliminary Exam,,,,,,,,,,,,,,,,,,,
724,South Bay Branch,South County,,Misdemeanor Jury Trial - Dismissed (IFJ / IOE),CS237924,VC20001(a),,2010,,00:00.0,,Dismissed (IFJ / IOE),South Bay Branch,Misdemeanor Jury Trial,,,,,,,,,,,,,,,,,,,
257,East County Branch,East County,,Felony Jury Trial - Dismissed (IFJ / IOE),CE315638,VC20001(a),,2011,,00:00.0,,Dismissed (IFJ / IOE),East County Branch,Felony Jury Trial,,,,,,,,,,,,,,,,,,,
259,East County Branch,East County,,Felony Arraignment on Complaint - Dismissed (IFJ / IOE),CE317256,VC20001(a),,2011,,00:00.0,,Dismissed (IFJ / IOE),East County Branch,Felony Arraignment on Complaint,,,,,,,,,,,,,,,,,,,
472,North County Branch,North County,,Misdemeanor Readiness Hearing - Dismissed (IFJ / IOE),CN288844,VC20001(a),,2011,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Misdemeanor Readiness Hearing,,,,,,,,,,,,,,,,,,,
479,North County Branch,North County,,Further Proceedings - Dismissed (IFJ / IOE),CN289932,PC191.5(b),,2011,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Further Proceedings,,,,,,,,,,,,,,,,,,,
491,North County Branch,North County,,Preliminary Exam - Dismissed (IFJ / IOE),CN292372,VC20001(a),,2011,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam,,,,,,,,,,,,,,,,,,,
760,South Bay Branch,South County,,Preliminary Exam Readiness - Dismissed (IFJ / IOE),CS253673,VC20001(a),,2011,,00:00.0,,Dismissed (IFJ / IOE),South Bay Branch - OTS Grant,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
561,North County Branch,North County,,Felony Jury Trial - Dismissed (IFJ / IOE),CN308423,PC245(a)(1),deadly w,2012,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Felony Jury Trial,,,,,,,,,,,,,,,,,,,
775,South Bay Branch,South County,,Felony Readiness Conference - Dismissed (IFJ / IOE),CS259095,VC20001(a),,2012,,00:00.0,,Dismissed (IFJ / IOE),South Bay Branch,Felony Readiness Conference,,,,,,,,,,,,,,,,,,,
174,Superior Court,Central,,Preliminary Exam Readiness - Dismissed (IFJ / IOE),CD251026,VC20001(a),,2013,,00:00.0,,Dismissed (IFJ / IOE),Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
643,Family Protection,North County,,Preliminary Exam - Dismissed (IFJ / IOE),CN324666,PC273.5(a),,2013,,00:00.0,,Dismissed (IFJ / IOE),Domestic Violence,Preliminary Exam,,,,,,,,,,,,,,,,,,,
646,North County Branch,North County,,Felony Other Motion Hearing - Granted,CN325212,VC20001(a),,2013,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
651,North County Branch,North County,,Preliminary Exam - Dismissed (IFJ / IOE),CN325969,VC20001(a),,2013,,00:00.0,,Dismissed (IFJ / IOE),North County Branch,Preliminary Exam,,,,,,,,,,,,,,,,,,,
298,East County Branch,East County,,Preliminary Exam Readiness - Dismissed (IFJ / IOE),CE338068,VC10851(a),,2014,,00:00.0,,Dismissed (IFJ / IOE),East County Branch,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
110,Case Issuing/Extraditions,Central,,Felony Arraignment on Complaint - Dismissed (Issued by Other Jurisdiction),CD239875,VC23153(a),alcohol,2012,,00:00.0,,Dismissed (Issued by Other Jurisdiction),Case Issuing/Extraditions,Felony Arraignment on Complaint,,,,,,,,,,,,,,,,,,,
443,North County Branch,North County,,Felony Jury Trial - Dismissed by Court (PC 1118.1),CN282715,VC20001(b)(2),,2010,,00:00.0,,Dismissed by Court (PC 1118.1),North County Branch,Felony Jury Trial,,,,,,,,,,,,,,,,,,,
240,East County Branch,East County,,Preliminary Exam - Dismissed Other (see note),CE306707,VC23153(a),drugs,2010,,00:00.0,,Dismissed Other (see note),East County Branch,Preliminary Exam,,,,,,,,,,,,,,,,,,,
407,North County Branch,North County,,Further Proceedings - Dismissed Other (see note),CN275050,PC191.5(a),,2010,,00:00.0,,Dismissed Other (see note),North County Branch,Further Proceedings,,,,,,,,,,,,,,,,,,,
79,Superior Court,Central,,Preliminary Exam Readiness - Dismissed Other (see note),CD233510,VC23153(a),alcohol,2011,,00:00.0,,Dismissed Other (see note),Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
468,North County Branch,North County,PC187(a),Felony Appeal by the Defense - Remittitur Issued (see note),CN288104,PC187(a),,2011,,00:00.0,Life +: 16 Years,"Found Guilty, Felony",North County Branch,Felony Jury Trial,,,,,5840,,5840,,,,,,,,,,,,
62,Superior Court,Central,PC187(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD230448,PC187(a),,2010,,00:00.0,Life +: 26 Years,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,9490,,9490,,,,,,,,,,,,
2,Superior Court,Central,PC187(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD218851,PC187(a),,2009,,00:00.0,Life: 20 Years,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,7300,,7300,,,,,,,,,,,,
281,East County Branch,East County,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CE329332,PC245(a)(1),deadly w,2013,,00:00.0,Local Custody: 300 Days - Probation Formal: 3 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,300,,,,,1095,1095,,,,,,,,
81,Superior Court,Central,VC23152(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD234091,VC23153(a),alcohol,2011,,00:00.0,Local Custody: 365 Days - Probation Formal: 5 Years - Public Work Service: 200 Hours,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,365,,,,,1825,1825,,,,,0,,0,
444,North County Branch,North County,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CN282963,VC23153(a),alcohol,2010,,00:00.0,Probation Formal: 5 Years,"Found Guilty, Felony",North County Branch,Felony Jury Trial,,,,,,,,,,1825,1825,,,,,,,,
223,East County Branch,East County,PC191.5(a),Restitution Hearing  - Restitution Set,CE296241,PC191.5(a),,2009,,00:00.0,State Prison: 11 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,4015,,,4015,,,,,,,,,,,
550,Family Protection,North County,PC273a(a),Restitution Hearing  - Restitution Set,CN306903,PC273.5(a),,2012,,00:00.0,State Prison: 12 Years: 8 Months - Protective Orders - Full: 10 Years,"Found Guilty, Felony",Domestic Violence,Felony Jury Trial,,,,3650,4623,,,4623,,,,,,,,,,,
57,Superior Court,Central,"VC23153(a), drugs",Felony Appeal by the Defense - Remittitur Issued (see note),CD229232,VC23153(a),drugs,2010,,00:00.0,State Prison: 16 Years: 8 Months,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,6083,,,6083,,,,,,,,,,,
483,North County Branch,North County,VC20001(b)(2),Sentencing Hearing  - State Prison,CN290834,VC20001(b)(2),,2011,,00:00.0,State Prison: 2 Years,"Found Guilty, Felony",North County Branch,Felony Court Trial,,,,,730,,,730,,,,,,,,,,,
713,South Bay Branch,South County,VC20001(a),Felony Appeal by the Defense - Remittitur Issued (see note),CS234302,PC187(a) - PC664,,2009,,00:00.0,State Prison: 4 Years,"Found Guilty, Felony",South Bay Branch,Felony Jury Trial,,,,,1460,,,1460,,,,,,,,,,,
307,North County Branch,North County,"PC192(c)(1), unlawful act",Sentencing Hearing  - State Prison,CN256399,PC192(c)(1),unlawful act,2009,,00:00.0,State Prison: 4 Years: 4 Months,"Found Guilty, Felony",North County Branch,Felony Jury Trial,,,,,1582,,,1582,,,,,,,,,,,
279,East County Branch,East County,"HS11352(a), transport",Felony Appeal by the Defense - Initial Filing,CE326772,VC2800.2(a),,2013,,00:00.0,State Prison: 6 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,2190,,,2190,,,,,,,,,,,
146,Superior Court,Central,"VC23153(a), alcohol",Sentencing Hearing  - State Prison,CD247362,VC23153(a),alcohol,2013,,00:00.0,State Prison: 6 Years: 8 Months,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,2433,,,2433,,,,,,,,,,,
309,North County Branch,North County,"VC23153(a), alcohol",Restitution Hearing  - Restitution Set,CN257260,VC23153(a),alcohol,2009,,00:00.0,State Prison: 7 Years: 4 Months,"Found Guilty, Felony",North County Branch,Felony Jury Trial,,,,,2677,,,2677,,,,,,,,,,,
228,East County Branch,East County,VC23152(a),FTA/AOW Hearing - Other (see note),CE298688,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 8 Days - Probation Summary: 5 Years - Public Work Service: 30 Days,"Found Guilty, Misdemeanor",East County Branch,Felony Jury Trial,,,,,8,,,,,1825,,1825,,,,30,,30,
729,South Bay Branch,South County,,Felony Jury Trial - Found Not Guilty,CS239318,PC245(a)(1),deadly w,2010,,00:00.0,,Found Not Guilty,South Bay Branch,Felony Jury Trial,,,,,,,,,,,,,,,,,,,
510,North County Branch,North County,VC20001(b)(2),Sentencing Hearing  - Probation Granted Formal,CN295652,VC20001(b)(2),,2011,,00:00.0,Local Custody - Probation Formal: 3 Years: 365 Days,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,,,,,,1460,1460,,,,,,,,
